#{"t_start": 1701504171.0640025, "env_id": "Reacher-v4"}
r,l,t
-62.798132,50,1.008113
-67.685328,50,1.06413
-60.349629,50,1.117185
-64.580094,50,1.168259
-59.738956,50,1.220995
-62.642689,50,1.272263
-54.502171,50,1.325848
-66.787644,50,1.38033
-60.337906,50,1.433245
-66.740747,50,1.484616
-55.120806,50,1.825136
-71.033997,50,1.876116
-62.021758,50,1.928895
-54.35014,50,1.97963
-68.203471,50,2.032244
-56.990171,50,2.084361
-69.23088,50,2.137399
-53.316502,50,2.188641
-61.93818,50,2.241969
-55.537473,50,2.292735
-64.235209,50,2.635822
-55.334713,50,2.688057
-55.257449,50,2.747931
-56.470654,50,2.804035
-57.415005,50,2.861995
-63.479859,50,2.917856
-74.295686,50,2.971258
-66.302747,50,3.022381
-58.99392,50,3.07553
-70.43428,50,3.126753
-56.491437,50,3.461002
-62.624395,50,3.512759
-68.419522,50,3.566406
-69.420408,50,3.618947
-63.200912,50,3.671893
-57.154032,50,3.723379
-67.662025,50,3.776452
-71.923859,50,3.827045
-63.944063,50,3.879476
-65.099813,50,3.92993
-64.147913,50,4.269472
-59.436184,50,4.321131
-61.042084,50,4.374091
-56.832637,50,4.424832
-60.483765,50,4.477626
-60.742922,50,4.528288
-61.521565,50,4.581054
-61.38245,50,4.633399
-54.407062,50,4.686953
-62.20623,50,4.739019
-68.639377,50,4.792043
-58.447853,50,5.123063
-60.651847,50,5.177736
-64.820421,50,5.22874
-55.059139,50,5.284409
-62.400839,50,5.336594
-75.222407,50,5.38956
-64.918879,50,5.443351
-64.967247,50,5.495974
-54.501949,50,5.546901
-62.541664,50,5.603794
-59.17385,50,5.949052
-58.811391,50,6.002591
-63.41947,50,6.053684
-61.177325,50,6.106494
-61.893556,50,6.158643
-56.248246,50,6.211507
-63.412138,50,6.262384
-59.354882,50,6.31704
-66.162402,50,6.368369
-69.199778,50,6.421916
-63.653082,50,6.756403
-55.682751,50,6.810214
-56.817565,50,6.861898
-63.057141,50,6.915359
-59.605989,50,6.966988
-54.562205,50,7.02069
-61.451098,50,7.072968
-56.971965,50,7.126737
-60.304895,50,7.178666
-59.641715,50,7.232778
-58.061783,50,7.568537
-55.398018,50,7.623461
-65.354284,50,7.675118
-57.179263,50,7.72945
-60.953088,50,7.780957
-62.386134,50,7.834452
-59.491615,50,7.885721
-60.673525,50,7.939197
-58.512277,50,7.99036
-60.851979,50,8.043445
-52.080108,50,8.094821
-60.486126,50,8.430816
-64.772102,50,8.482124
-64.781351,50,8.535541
-63.119882,50,8.586984
-53.67109,50,8.641504
-60.25884,50,8.693139
-61.85843,50,8.746947
-58.797079,50,8.79883
-54.893468,50,8.852491
-57.914005,50,8.904272
-63.191765,50,9.267253
-69.879946,50,9.320455
-59.357165,50,9.374457
-66.184603,50,9.43046
-61.509907,50,9.484461
-64.768924,50,9.537003
-64.131169,50,9.59142
-52.962319,50,9.644178
-64.695948,50,9.698675
-62.098164,50,9.75258
-55.893017,50,10.089434
-65.156081,50,10.140633
-70.499114,50,10.195313
-65.772471,50,10.246201
-63.218016,50,10.300344
-51.063824,50,10.352527
-59.887819,50,10.40508
-66.763951,50,10.455337
-65.028672,50,10.507478
-60.591693,50,10.558099
-61.072611,50,10.896122
-59.307174,50,10.948136
-60.067212,50,11.001644
-48.340943,50,11.052858
-60.252491,50,11.105697
-53.721057,50,11.158575
-56.641588,50,11.213604
-57.123046,50,11.265253
-58.508493,50,11.318807
-60.977078,50,11.369874
-54.099768,50,11.422758
-60.61707,50,11.760514
-56.409937,50,11.819233
-56.700476,50,11.876349
-57.107457,50,11.934793
-56.539492,50,11.990585
-56.535732,50,12.048674
-58.737676,50,12.106664
-59.442579,50,12.166088
-50.872476,50,12.223353
-58.356046,50,12.28209
-59.761244,50,12.619461
-61.202129,50,12.674712
-60.062125,50,12.72677
-55.391131,50,12.78073
-56.032142,50,12.837598
-63.152984,50,12.896388
-60.130404,50,12.947936
