#{"t_start": 1701509379.0561805, "env_id": "Reacher-v4"}
r,l,t
-62.798132,50,1.02413
-67.685328,50,1.080878
-60.349629,50,1.135224
-64.580094,50,1.186791
-59.738956,50,1.239738
-62.642689,50,1.293313
-54.502171,50,1.346255
-66.787644,50,1.400556
-60.337906,50,1.453349
-66.740747,50,1.504421
-55.120806,50,1.841046
-71.033997,50,1.892698
-62.021758,50,1.947349
-54.35014,50,1.998535
-68.203471,50,2.051767
-56.990171,50,2.102949
-69.23088,50,2.155777
-53.316502,50,2.20637
-61.93818,50,2.259042
-55.537473,50,2.312963
